name,tag_name,published_at,html_url
"Release v1.1.35","v1.1.35","2025-11-01T10:05:17Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.35"
"Release v1.1.34","v1.1.34","2025-10-20T08:25:24Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.34"
"Release v1.1.33","v1.1.33","2025-10-01T10:05:38Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.33"
"Release v1.1.32","v1.1.32","2025-09-01T10:05:45Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.32"
"Release v1.1.31","v1.1.31","2025-08-01T10:05:46Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.31"
"Release v1.1.30","v1.1.30","2025-07-01T10:07:33Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.30"
"Release v1.1.29","v1.1.29","2025-06-18T04:00:49Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.29"
"Release v1.1.28","v1.1.28","2025-06-18T03:57:37Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.28"
"Release v1.1.27","v1.1.27","2025-06-17T16:15:05Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.27"
"Release v1.1.26","v1.1.26","2025-06-17T15:59:16Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.26"
"Release v1.1.25","v1.1.25","2025-06-16T10:07:33Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.25"
"Release v1.1.24","v1.1.24","2025-06-09T10:07:29Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.24"
"Release v1.1.23","v1.1.23","2025-06-02T10:07:21Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.23"
"Release v1.1.22","v1.1.22","2025-05-31T14:15:31Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.22"
"Release v1.1.21","v1.1.21","2025-05-29T17:11:12Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.21"
"Release v1.1.20","v1.1.20","2025-05-29T15:51:55Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.20"
"Release v1.1.19","v1.1.19","2025-04-30T14:20:04Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.19"
"Release v1.1.18","v1.1.18","2025-04-29T11:04:37Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.18"
"Release v1.1.17","v1.1.17","2025-04-25T18:53:26Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.17"
"Release v1.1.16","v1.1.16","2025-04-08T10:22:12Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.16"
"Release v1.1.15","v1.1.15","2025-04-07T19:59:51Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.15"
"Release v1.1.13","v1.1.13","2025-04-07T10:07:54Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.13"
"Release v1.1.12","v1.1.12","2025-03-31T10:07:25Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.12"
"Release v1.1.11","v1.1.11","2025-03-24T10:07:28Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.11"
"Release v1.1.10","v1.1.10","2025-03-17T10:07:06Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.10"
"Release v1.1.9","v1.1.9","2025-03-13T10:53:55Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.9"
"Release v1.1.8","v1.1.8","2025-03-10T10:06:04Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.8"
"Release v1.1.7","v1.1.7","2025-03-09T10:37:15Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.7"
"Release v1.1.6","v1.1.6","2025-03-09T07:22:10Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.6"
"Release v1.1.5","v1.1.5","2025-03-09T07:02:57Z","https://github.com/RAJANAGORI/Nightingale/releases/tag/v1.1.5"
